cells,sample_id,group_id
cy78_CD45_neg_1_B04_S496_comb,Mel78,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb,Mel79,treatment_naive
CY88_5_B10_S694_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb,Mel79,treatment_naive
cy78_CD45_neg_3_H06_S762_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb,Mel79,treatment_naive
CY88_3_D02_S614_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb,Mel79,treatment_naive
cy53_1_CD45_neg_C06_S318_comb,Mel53,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb,Mel79,treatment_naive
Cy71_CD45_D08_S524_comb,Mel71,treatment_naive
Cy81_FNA_CD45_B01_S301_comb,Mel81,treatment_naive
CY88_5_B06_S690_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb,Mel79,treatment_naive
Cy80_II_CD45_B07_S883_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_B10_S118_comb,Mel81,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb,Mel79,treatment_naive
CY88_3_F01_S637_comb,Mel88,ICB_treated
CY88_3_C01_S601_comb,Mel88,ICB_treated
CY89NEG_E07_S55_comb,Mel89,treatment_naive
CY89CORE11_G02_S170_comb,Mel89,treatment_naive
cy78_CD45_neg_1_D07_S523_comb,Mel78,ICB_treated
cy78_CD45_neg_3_D01_S709_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb,Mel79,treatment_naive
Cy71_CD45_B05_S497_comb,Mel71,treatment_naive
Cy80_II_CD45_C09_S897_comb,Mel80,treatment_naive
cy81_FNA_CD45_neg_D04_S1000_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb,Mel79,treatment_naive
cy80_CD45_neg_G01_S937_comb,Mel80,treatment_naive
cy78_CD45_neg_2_B08_S596_comb,Mel78,ICB_treated
cy78_CD45_neg_1_E02_S530_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F07_S163_comb,Mel79,treatment_naive
CY89CORE11_A11_S107_comb,Mel89,treatment_naive
cy78_CD45_neg_3_B02_S686_comb,Mel78,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_A02_S770_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_D01_S1093_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C01_S313_comb,Mel79,treatment_naive
cy81_Bulk_CD45_neg_A10_S106_comb,Mel81,treatment_naive
cy53_1_CD45_neg_E04_S340_comb,Mel53,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_C03_S795_comb,Mel79,treatment_naive
cy78_CD45_neg_3_D04_S712_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A10_S10_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_B01_S973_comb,Mel81,treatment_naive
Cy81_FNA_CD45_E05_S341_comb,Mel81,treatment_naive
cy78_CD45_neg_3_E02_S722_comb,Mel78,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_H12_S288_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_D05_S713_comb,Mel79,treatment_naive
cy78_CD45_neg_3_D10_S718_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G10_S82_comb,Mel79,treatment_naive
cy78_CD45_neg_1_G05_S557_comb,Mel78,ICB_treated
CY88_5_C12_S708_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_B02_S686_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_E10_S154_comb,Mel81,treatment_naive
CY88CD45_150813_G04_S364_comb,Mel88,ICB_treated
Cy80_II_CD45_H07_S955_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_B08_S1076_comb,Mel79,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B07_S19_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_C12_S1092_comb,Mel79,treatment_naive
cy78_CD45_neg_3_G11_S755_comb,Mel78,ICB_treated
Cy81_FNA_CD45_D09_S333_comb,Mel81,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_A08_S200_comb,Mel79,treatment_naive
Cy71_CD45_E12_S540_comb,Mel71,treatment_naive
cy94_cd45neg_cd90pos_G07_S367_comb,Mel94,ICB_treated
cy78_CD45_neg_1_H01_S565_comb,Mel78,ICB_treated
CY89CORE11_F05_S161_comb,Mel89,treatment_naive
CY89NEG_C03_S27_comb,Mel89,treatment_naive
cy81_Bulk_CD45_neg_G01_S169_comb,Mel81,treatment_naive
CY89CORE11_B10_S118_comb,Mel89,treatment_naive
cy78_CD45_neg_1_C02_S506_comb,Mel78,ICB_treated
CY88_5_G04_S748_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_H04_S280_comb,Mel79,treatment_naive
CY88_3_F05_S641_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B10_S118_comb,Mel79,treatment_naive
Cy71_CD45_G02_S554_comb,Mel71,treatment_naive
cy78_CD45_neg_1_A05_S485_comb,Mel78,ICB_treated
cy81_Bulk_CD45_neg_C03_S123_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_C03_S1083_comb,Mel79,treatment_naive
cy94_cd45neg_cd90pos_E08_S344_comb,Mel94,ICB_treated
cy81_FNA_CD45_neg_C09_S993_comb,Mel81,treatment_naive
cy80_CD45_neg_G04_S940_comb,Mel80,treatment_naive
Cy80_II_CD45_H09_S957_comb,Mel80,treatment_naive
cy80_CD45_neg_A09_S873_comb,Mel80,treatment_naive
CY88_3_H11_S671_comb,Mel88,ICB_treated
Cy80_II_CD45_B11_S887_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D12_S144_comb,Mel79,treatment_naive
CY89NEG_B03_S15_comb,Mel89,treatment_naive
Cy81_Bulk_CD45_E04_S148_comb,Mel81,treatment_naive
Cy80_II_CD45_D11_S911_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D05_S137_comb,Mel79,treatment_naive
cy78_CD45_neg_1_E03_S531_comb,Mel78,ICB_treated
CY88_3_C10_S610_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B08_S308_comb,Mel79,treatment_naive
cy78_CD45_neg_1_E07_S535_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B12_S24_comb,Mel79,treatment_naive
CY89NEG_G01_S73_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B02_S14_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_G08_S464_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_F09_S1029_comb,Mel81,treatment_naive
cy78_CD45_neg_2_C06_S606_comb,Mel78,ICB_treated
Cy81_FNA_CD45_G10_S370_comb,Mel81,treatment_naive
Cy71_CD45_E11_S539_comb,Mel71,treatment_naive
CY88_5_D11_S719_comb,Mel88,ICB_treated
CY89FNAQ2_F06_S450_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C08_S32_comb,Mel79,treatment_naive
cy78_CD45_neg_3_G02_S746_comb,Mel78,ICB_treated
Cy81_FNA_CD45_C09_S321_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F06_S66_comb,Mel79,treatment_naive
cy78_CD45_neg_1_B02_S494_comb,Mel78,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E01_S49_comb,Mel79,treatment_naive
cy80_CD45_neg_D04_S904_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F01_S157_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_A02_S386_comb,Mel79,treatment_naive
cy80_CD45_neg_E02_S914_comb,Mel80,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D09_S45_comb,Mel79,treatment_naive
cy78_CD45_neg_1_H07_S571_comb,Mel78,ICB_treated
Cy80_II_CD45_G07_S943_comb,Mel80,treatment_naive
cy78_CD45_neg_1_F06_S546_comb,Mel78,ICB_treated
cy81_FNA_CD45_neg_E04_S1012_comb,Mel81,treatment_naive
cy81_Bulk_CD45_neg_E04_S148_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H01_S181_comb,Mel79,treatment_naive
cy81_Bulk_CD45_neg_C11_S131_comb,Mel81,treatment_naive
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A04_S4_comb,Mel79,treatment_naive
cy81_Bulk_CD45_neg_D09_S141_comb,Mel81,treatment_naive
Cy71_CD45_G08_S560_comb,Mel71,treatment_naive
CY89CORE11_A04_S100_comb,Mel89,treatment_naive
cy80_CD45_neg_G02_S938_comb,Mel80,treatment_naive
CY88_5_H03_S759_comb,Mel88,ICB_treated
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_B08_S20_comb,Mel79,treatment_naive
CY88_5_E04_S724_comb,Mel88,ICB_treated
CY89NEG_H11_S95_comb,Mel89,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_D11_S335_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_E02_S818_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_F08_S1028_comb,Mel81,treatment_naive
CY88_3_D07_S619_comb,Mel88,ICB_treated
cy79_p3_CD45_neg_PDL1_neg_F09_S261_comb,Mel79,treatment_naive
CY88_3_G09_S657_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_neg_D03_S807_comb,Mel79,treatment_naive
CY88_5_H08_S764_comb,Mel88,ICB_treated
cy79_p4_CD45_neg_PDL1_neg_F08_S1124_comb,Mel79,treatment_naive
cy81_FNA_CD45_neg_G12_S1044_comb,Mel81,treatment_naive
CY88_3_B04_S592_comb,Mel88,ICB_treated
cy79_p5_CD45_neg_PDL1_pos_A11_S683_comb,Mel79,treatment_naive
Cy71_CD45_F06_S546_comb,Mel71,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_G11_S755_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_C10_S706_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_F08_S260_comb,Mel79,treatment_naive
cy53_1_CD45_neg_B02_S302_comb,Mel53,treatment_naive
CY89NEG_F05_S65_comb,Mel89,treatment_naive
cy80_CD45_neg_H08_S956_comb,Mel80,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_G03_S267_comb,Mel79,treatment_naive
Cy81_Bulk_CD45_D10_S142_comb,Mel81,treatment_naive
CY89NEG_F07_S67_comb,Mel89,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_H06_S762_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_neg_F12_S1128_comb,Mel79,treatment_naive
cy78_CD45_neg_1_A04_S484_comb,Mel78,ICB_treated
Cy81_FNA_CD45_C05_S317_comb,Mel81,treatment_naive
Cy80_II_CD45_B01_S877_comb,Mel80,treatment_naive
CY89CORE11_E10_S154_comb,Mel89,treatment_naive
cy80_CD45_neg_A05_S869_comb,Mel80,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_D03_S423_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_A04_S388_comb,Mel79,treatment_naive
CY89NEG_E06_S54_comb,Mel89,treatment_naive
cy79_p5_CD45_neg_PDL1_neg_C02_S794_comb,Mel79,treatment_naive
CY88_3_A10_S586_comb,Mel88,ICB_treated
CY89FNAQ2_G07_S463_comb,Mel89,treatment_naive
cy80_CD45_neg_F05_S929_comb,Mel80,treatment_naive
Cy81_Bulk_CD45_G12_S180_comb,Mel81,treatment_naive
cy81_FNA_CD45_neg_F06_S1026_comb,Mel81,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_C02_S410_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_C11_S707_comb,Mel79,treatment_naive
cy79_p5_CD45_neg_PDL1_pos_F09_S741_comb,Mel79,treatment_naive
cy79_p4_CD45_neg_PDL1_pos_E10_S442_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H01_S373_comb,Mel79,treatment_naive
cy78_CD45_neg_1_H08_S572_comb,Mel78,ICB_treated
CY89CORE11_B04_S112_comb,Mel89,treatment_naive
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F03_S159_comb,Mel79,treatment_naive
cy79_p3_CD45_neg_PDL1_neg_H10_S286_comb,Mel79,treatment_naive
