,beanie_pval,direction,robust,excluded_BRCA_41,excluded_BRCA_10,excluded_BRCA_12,excluded_BRCA_8,excluded_BRCA_40,excluded_BRCA_47,excluded_BRCA_36,excluded_BRCA_49,excluded_BRCA_1,excluded_BRCA_13,excluded_BRCA_42,excluded_BRCA_15,excluded_BRCA_18,excluded_BRCA_50,excluded_BRCA_35,excluded_BRCA_51,excluded_BRCA_37,excluded_BRCA_5,excluded_BRCA_2,excluded_BRCA_27,excluded_BRCA_33,excluded_BRCA_31,excluded_BRCA_20,excluded_BRCA_48,excluded_BRCA_34,excluded_BRCA_3,excluded_BRCA_29,excluded_BRCA_25
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9999600000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.45411,anti_PD1,False,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0709,anti_PD1,False,0.04,0.26,0.0,1.38,0.0,1.88,1.08,0.18,0.7,0.66,0.5,1.96,0.28,0.86,1.34,0.0,0.98,1.16,0.12,0.9,0.52,0.02,1.88,0.6,0.4,1.5,1.14,0.56
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.54972,anti_PD1,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.000000000000002,0.0,1.0,0.0,0.0,0.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.08562,anti_PD1,False,0.0,1.0,0.0196078431372549,1.568627450980392,0.1176470588235294,1.8627450980392155,0.5882352941176471,0.21568627450980396,0.7254901960784313,0.7647058823529412,0.0392156862745098,1.96078431372549,0.0196078431372549,0.6274509803921569,0.4901960784313725,0.13725490196078433,0.6274509803921569,0.8039215686274509,0.33333333333333337,1.2549019607843137,0.0392156862745098,0.5294117647058824,0.8823529411764706,1.1372549019607845,0.3529411764705882,1.8627450980392155,1.2941176470588236,0.0392156862745098
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.8566799999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.62664,anti_PD1,False,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.22751,anti_PD1,False,97.0,0.0,0.0,19.0,98.0,0.0,32.0,0.0,0.0,15.0,5.0,0.0,4.0,0.0,1.0,90.0,0.0,1.0,13.0,7.000000000000001,2.0,100.0,0.0,0.0,14.000000000000002,1.0,0.0,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.5654600000000001,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.86395,anti_PD1,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
