,beanie_pval,direction,robust,excluded_BRCA_10,excluded_BRCA_12,excluded_BRCA_8,excluded_BRCA_1,excluded_BRCA_5,excluded_BRCA_2,excluded_BRCA_20,excluded_BRCA_3,excluded_BRCA_29
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99975,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.5827899999999999,anti_PD1,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.8366399999999999,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.24004,treatment_naive,False,0.33333333333333337,0.0,0.6666666666666667,30.333333333333336,0.0,1.6666666666666667,0.0,2.666666666666667,0.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.75264,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.01888,treatment_naive,False,0.6363636363636364,0.10101010101010102,1.0101010101010102,1.0101010101010102,0.98989898989899,1.0101010101010102,0.020202020202020204,0.6464646464646465,0.8282828282828283
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.019119999999999998,treatment_naive,False,0.8080808080808082,0.05050505050505051,1.0101010101010102,1.0101010101010102,0.98989898989899,1.0101010101010102,0.11111111111111112,0.5050505050505051,0.5454545454545455
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.015359999999999999,treatment_naive,False,0.6236559139784945,0.053763440860215055,1.075268817204301,1.075268817204301,1.064516129032258,1.075268817204301,0.0,0.9462365591397848,1.064516129032258
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.6656,anti_PD1,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.28715999999999997,treatment_naive,False,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
REACTOME_INTERFERON_GAMMA_SIGNALING,0.09011,treatment_naive,False,0.03389830508474576,0.0,1.6949152542372885,1.6949152542372885,1.5423728813559323,1.4915254237288136,0.01694915254237288,0.06779661016949153,0.03389830508474576
REACTOME_INTERFERON_SIGNALING,0.01898,treatment_naive,False,0.6464646464646465,0.09090909090909093,1.0101010101010102,1.0101010101010102,0.9696969696969696,1.0101010101010102,0.15151515151515152,0.797979797979798,0.20202020202020204
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.99975,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.41884,anti_PD1,False,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99976,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.01944,treatment_naive,False,0.3232323232323233,0.030303030303030307,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.010101010101010102,0.5757575757575757,0.787878787878788
WP_TYPE_III_INTERFERON_SIGNALING,0.11919,treatment_naive,False,0.0,0.0,5.2142857142857135,6.928571428571428,5.357142857142857,0.9285714285714284,0.0,0.9285714285714284,1.1428571428571428
BROWNE_INTERFERON_RESPONSIVE_GENES,0.06836,treatment_naive,False,0.016666666666666666,0.0,1.6666666666666667,1.6666666666666667,1.0833333333333337,1.6666666666666667,0.0,0.03333333333333333,0.2
ZHANG_INTERFERON_RESPONSE,0.00126,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.70612,anti_PD1,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.89781,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAM50,0.04495,anti_PD1,False,0.0,1.0923076923076922,1.2461538461538462,1.5384615384615383,0.0,1.5076923076923077,0.2153846153846154,0.7846153846153846,0.0
WU_ET_AL_BASAL_SC,0.67465,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
WU_ET_AL_HER2E_SC,0.04856,anti_PD1,False,1.15,1.25,0.475,0.0,0.1,0.1875,1.0499999999999998,1.225,0.0
WU_ET_AL_LUMA_SC,0.0647,anti_PD1,False,0.686046511627907,1.162790697674419,0.0,0.0,0.034883720930232565,0.13953488372093026,1.162790697674419,1.162790697674419,0.0
WU_EL_AL_LUMB_SC,0.8690200000000001,treatment_naive,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_ADIPOGENESIS,0.76972,treatment_naive,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_ALLOGRAFT_REJECTION,0.82106,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.27128,anti_PD1,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_ANGIOGENESIS,0.50366,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_APICAL_JUNCTION,0.8800399999999999,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_APICAL_SURFACE,0.01958,anti_PD1,False,1.0329670329670328,1.0879120879120878,0.912087912087912,0.6483516483516483,1.0329670329670328,1.0329670329670328,0.8901098901098902,0.978021978021978,0.0
HALLMARK_APOPTOSIS,0.46774,anti_PD1,False,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.8800899999999999,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.8052600000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COAGULATION,0.054020000000000006,anti_PD1,False,0.32432432432432434,0.25675675675675674,1.351351351351351,1.135135135135135,1.2972972972972974,0.040540540540540536,0.21621621621621626,1.351351351351351,0.2297297297297297
HALLMARK_COMPLEMENT,0.50166,treatment_naive,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.65772,anti_PD1,False,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.87024,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.1658,anti_PD1,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.38453000000000004,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.42127,anti_PD1,False,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
HALLMARK_FATTY_ACID_METABOLISM,0.75288,anti_PD1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_G2M_CHECKPOINT,0.8719899999999999,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.19662000000000002,anti_PD1,False,0.25,0.125,6.0,0.5,3.125,0.0,0.25,4.375,0.375
HALLMARK_HEDGEHOG_SIGNALING,0.16822,anti_PD1,False,0.22222222222222224,0.0,8.777777777777779,5.888888888888888,0.6666666666666666,0.0,0.0,0.22222222222222224,0.0
HALLMARK_HEME_METABOLISM,0.13781,treatment_naive,False,0.7619047619047621,0.0,1.7142857142857142,4.714285714285714,0.38095238095238104,0.0,0.2857142857142857,0.0,0.0
HALLMARK_HYPOXIA,0.49926000000000004,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_IL2_STAT5_SIGNALING,0.97021,anti_PD1,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.44446,treatment_naive,False,0.0,0.0,12.0,84.0,0.0,12.0,0.0,0.0,0.0
HALLMARK_INFLAMMATORY_RESPONSE,0.64162,treatment_naive,False,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.12451,treatment_naive,False,1.1875,6.25,1.4375,0.0,0.125,0.25,0.0,4.0625,0.0
HALLMARK_KRAS_SIGNALING_UP,0.42023999999999995,anti_PD1,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
HALLMARK_MITOTIC_SPINDLE,0.9208,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
HALLMARK_MTORC1_SIGNALING,0.7584,anti_PD1,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V1,0.10714000000000001,anti_PD1,False,5.727272727272728,9.0,0.0,0.0,3.4545454545454546,0.0,3.8181818181818183,1.9090909090909092,0.0
HALLMARK_MYC_TARGETS_V2,0.3169,anti_PD1,False,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
HALLMARK_MYOGENESIS,0.8810399999999999,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.6481399999999999,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.89113,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_P53_PATHWAY,0.02748,anti_PD1,False,1.010204081632653,1.020408163265306,0.7448979591836735,0.0,0.6122448979591837,0.5612244897959184,0.9387755102040816,1.020408163265306,0.42857142857142855
HALLMARK_PANCREAS_BETA_CELLS,0.47953999999999997,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_PEROXISOME,0.4789,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.93786,anti_PD1,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PROTEIN_SECRETION,0.2539,anti_PD1,False,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0633,anti_PD1,False,2.8000000000000003,4.8,0.0,0.0,1.5499999999999998,0.0,4.3,4.0,0.0
HALLMARK_SPERMATOGENESIS,0.7063,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_TGF_BETA_SIGNALING,0.72988,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.67625,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.25871,anti_PD1,False,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
HALLMARK_UV_RESPONSE_DN,0.46956000000000003,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_UV_RESPONSE_UP,0.70396,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.47581,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
HALLMARK_XENOBIOTIC_METABOLISM,0.39199,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
ONCOGENIC_AKT_UP.V1_DN,0.9015700000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP.V1_UP,0.8553200000000001,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.5658,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.6020300000000001,treatment_naive,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.8504299999999999,treatment_naive,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_UP,0.81788,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.46299999999999997,treatment_naive,False,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.89802,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_ATF2_UP.V1_DN,0.25783,anti_PD1,False,14.000000000000002,0.0,8.0,1.0,0.0,0.0,0.0,51.0,0.0
ONCOGENIC_ATF2_UP.V1_UP,0.57471,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_DN,0.7135,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.9923700000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_DN,0.40998,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.43901999999999997,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.6927800000000001,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.87549,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.27360999999999996,treatment_naive,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
ONCOGENIC_BCAT_GDS748_UP,0.33108000000000004,anti_PD1,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ONCOGENIC_BMI1_DN.V1_DN,0.03984,treatment_naive,False,0.375,0.96875,1.359375,1.140625,0.046875,1.53125,0.4375000000000001,0.21875000000000006,0.9375
ONCOGENIC_BMI1_DN.V1_UP,0.31289,anti_PD1,False,0.0,0.0,41.0,39.0,0.0,0.0,0.0,11.0,0.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.07459,treatment_naive,False,0.42105263157894735,0.13157894736842105,2.631578947368421,1.7894736842105263,1.4210526315789471,2.210526315789473,0.0,0.05263157894736842,0.10526315789473684
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.21039000000000002,anti_PD1,False,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_BRCA1_DN.V1_DN,0.07262,treatment_naive,False,1.69811320754717,1.2452830188679245,1.2075471698113207,0.018867924528301886,1.3584905660377358,0.2452830188679245,0.05660377358490565,0.7547169811320755,0.4150943396226415
ONCOGENIC_BRCA1_DN.V1_UP,0.8312200000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.36756,anti_PD1,False,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROGLIAL,0.67403,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_NEURONAL,0.6715800000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.9555899999999999,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.68224,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_UP,0.8004399999999999,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.52204,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CRX_DN.V1_DN,0.30332,anti_PD1,False,0.0,0.5,0.0,0.0,0.0,0.0,1.0,7.000000000000001,0.0
ONCOGENIC_CRX_DN.V1_UP,0.62873,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_CRX_NRL_DN.V1_DN,0.24301999999999999,treatment_naive,False,0.6,0.2,1.0,3.8,0.0,0.0,1.6,0.2,0.0
ONCOGENIC_CRX_NRL_DN.V1_UP,0.07833,anti_PD1,False,0.4642857142857143,0.2857142857142857,0.6785714285714285,1.2142857142857142,0.14285714285714285,0.4642857142857143,1.714285714285714,0.35714285714285715,1.2499999999999998
ONCOGENIC_CSR_EARLY_UP.V1_DN,0.77708,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_CSR_EARLY_UP.V1_UP,0.47266,anti_PD1,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_DN,0.39508000000000004,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_CSR_LATE_UP.V1_UP,0.97091,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CTIP_DN.V1_DN,0.54065,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CTIP_DN.V1_UP,0.708,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_KE_.V1_DN,0.18002,anti_PD1,False,0.2857142857142857,14.142857142857142,0.2857142857142857,0.0,0.0,0.0,0.7142857142857143,9.285714285714283,0.2857142857142857
ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.49087,anti_PD1,False,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.90548,anti_PD1,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.9452299999999999,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_DN,0.75654,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_DCA_UP.V1_UP,0.37556,treatment_naive,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F1_UP.V1_DN,0.82724,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_E2F1_UP.V1_UP,0.67074,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_E2F3_UP.V1_DN,0.44354,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_E2F3_UP.V1_UP,0.509,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_EGFR_UP.V1_DN,0.8843200000000001,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_EGFR_UP.V1_UP,0.72419,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_EIF4E_DN,0.36794,anti_PD1,False,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_EIF4E_UP,0.28829,treatment_naive,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_ERBB2_UP.V1_DN,0.08824,treatment_naive,False,0.10810810810810813,0.0,2.0,1.9729729729729732,2.675675675675676,0.08108108108108109,0.7027027027027027,0.9189189189189191,0.3783783783783784
ONCOGENIC_ERBB2_UP.V1_UP,0.52372,anti_PD1,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_DN,0.6793,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_EARLY.V1_UP,0.39534,treatment_naive,False,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_J1_UP_LATE.V1_DN,0.23344,anti_PD1,False,0.33333333333333337,2.0,0.33333333333333337,0.33333333333333337,1.0,0.0,2.666666666666667,3.666666666666667,0.0
ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.25694,anti_PD1,False,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.2755,anti_PD1,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
ONCOGENIC_ESC_V6.5_UP_EARLY.V1_UP,0.8789100000000001,treatment_naive,False,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.10695,anti_PD1,False,0.7499999999999999,0.4,1.7999999999999998,0.15,2.55,0.0,0.3,2.65,0.0
ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.80598,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.9249,anti_PD1,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_GCNP_SHH_UP_EARLY.V1_UP,0.8840600000000001,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.56289,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.2775,anti_PD1,False,3.0,26.0,1.0,0.0,0.0,13.0,0.0,5.0,0.0
ONCOGENIC_GLI1_UP.V1_DN,0.86166,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_GLI1_UP.V1_UP,0.9125200000000001,anti_PD1,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_IMMU_INF,0.44141,treatment_naive,False,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_HINATA_NFKB_MATRIX,0.5877,anti_PD1,False,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
ONCOGENIC_HOXA9_DN.V1_DN,0.5171399999999999,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_HOXA9_DN.V1_UP,0.8509,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_DN,0.9581799999999999,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL15_UP.V1_UP,0.59882,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_IL21_UP.V1_DN,0.025810000000000003,anti_PD1,False,0.6105263157894737,0.3263157894736842,1.0315789473684212,1.0526315789473684,0.5789473684210527,1.0210526315789474,0.5789473684210527,1.0526315789473684,0.7368421052631579
ONCOGENIC_IL21_UP.V1_UP,0.7279,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
