,beanie_pval,direction,robust,excluded_BRCA_41,excluded_BRCA_10,excluded_BRCA_12,excluded_BRCA_8,excluded_BRCA_40,excluded_BRCA_47,excluded_BRCA_36,excluded_BRCA_1,excluded_BRCA_13,excluded_BRCA_42,excluded_BRCA_43,excluded_BRCA_15,excluded_BRCA_18,excluded_BRCA_50,excluded_BRCA_35,excluded_BRCA_37,excluded_BRCA_5,excluded_BRCA_2,excluded_BRCA_27,excluded_BRCA_33,excluded_BRCA_31,excluded_BRCA_20,excluded_BRCA_48,excluded_BRCA_34,excluded_BRCA_3,excluded_BRCA_29,excluded_BRCA_25
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99998,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.9696799999999999,anti_PD1,False,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.85325,anti_PD1,False,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.29056,treatment_naive,False,1.2307692307692308,0.15384615384615385,0.4615384615384615,1.3846153846153846,1.1538461538461535,0.6923076923076923,1.4615384615384617,0.7692307692307693,1.1538461538461535,0.38461538461538464,0.6153846153846154,0.0,1.5384615384615383,0.4615384615384615,1.0,0.23076923076923075,0.4615384615384615,3.0,1.0769230769230769,1.2307692307692308,2.769230769230769,0.4615384615384615,0.4615384615384615,1.2307692307692308,0.923076923076923,0.23076923076923075,1.3076923076923077
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.9546,treatment_naive,False,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,14.000000000000002,1.0,0.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.2459,treatment_naive,False,17.5,0.75,0.75,9.0,14.499999999999998,3.25,7.5,1.0,7.249999999999999,2.5,1.0,0.0,2.75,2.75,2.0,0.5,0.75,12.0,0.5,3.5000000000000004,19.25,0.0,0.5,1.25,2.25,0.25,2.5
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.7140000000000001,anti_PD1,False,30.0,2.0,0.0,5.0,12.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,1.0,30.0,1.0,0.0,1.0,0.0,0.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.74112,anti_PD1,False,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.17964000000000002,anti_PD1,False,1.1176470588235294,1.2352941176470589,1.4705882352941175,0.5882352941176471,0.29411764705882354,2.4705882352941173,0.05882352941176471,0.7058823529411764,1.4705882352941175,0.4705882352941176,1.7058823529411762,4.647058823529411,0.411764705882353,0.5882352941176471,0.823529411764706,1.5882352941176472,3.117647058823529,0.1764705882352941,0.0,2.647058823529412,0.3529411764705882,0.411764705882353,2.411764705882353,0.411764705882353,1.1764705882352942,0.1176470588235294,1.1764705882352942
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.30398000000000003,anti_PD1,False,0.14285714285714285,1.857142857142857,3.571428571428571,1.1428571428571428,0.857142857142857,0.857142857142857,3.2857142857142856,0.0,0.5714285714285714,2.0,0.857142857142857,6.857142857142856,0.2857142857142857,2.0,0.7142857142857143,0.2857142857142857,3.0,0.0,4.857142857142857,1.5714285714285714,1.0,1.4285714285714286,2.0,4.0,2.5714285714285707,1.857142857142857,0.5714285714285714
