,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_24,excluded_BRCA_10,excluded_BRCA_38,excluded_BRCA_14,excluded_BRCA_32,excluded_BRCA_8,excluded_BRCA_47,excluded_BRCA_22,excluded_BRCA_19,excluded_BRCA_13,excluded_BRCA_43,excluded_BRCA_18,excluded_BRCA_9,excluded_BRCA_35,excluded_BRCA_37,excluded_BRCA_23,excluded_BRCA_2,excluded_BRCA_6,excluded_BRCA_33,excluded_BRCA_20,excluded_BRCA_48,excluded_BRCA_3,excluded_BRCA_25,excluded_BRCA_7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99995,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.97,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,7e-05,TNBC,True,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.3028,TNBC,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.00234,TNBC,False,0.85,1.0,1.0,0.97,1.0,1.0,0.93,0.99,1.0,0.98,0.98,1.0,0.83,1.0,0.98,1.0,0.99,0.67,0.95,0.98,1.0,1.0,1.0,0.99,0.91
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.01142,TNBC,False,0.5473684210526316,0.9894736842105264,1.0526315789473684,1.0315789473684212,0.8210526315789475,0.9894736842105264,0.6631578947368422,0.8947368421052632,1.0526315789473684,0.8947368421052632,0.7789473684210526,1.0210526315789474,0.6947368421052632,1.0526315789473684,0.8631578947368421,1.0421052631578949,1.0421052631578949,0.5684210526315789,0.9684210526315792,0.8947368421052632,1.0421052631578949,0.9578947368421054,0.9789473684210528,0.9789473684210528,0.2842105263157895
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.12608,TNBC,False,0.5,6.0,12.5,6.5,0.0,2.5,2.0,0.0,6.0,1.5,1.0,2.0,4.0,37.5,2.5,17.5,9.5,0.5,20.5,2.5,12.0,3.0,2.0,2.0,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.02033,TNBC,False,0.8095238095238096,0.9404761904761906,1.1071428571428572,0.8571428571428571,1.0,1.1428571428571428,0.8809523809523809,1.1666666666666667,1.0833333333333337,1.0,1.0833333333333337,1.0833333333333337,0.6071428571428572,1.0714285714285714,0.7857142857142858,1.1666666666666667,0.5714285714285714,0.3690476190476191,1.0833333333333337,1.1428571428571428,0.8928571428571429,0.9761904761904762,0.9166666666666669,1.0238095238095235,0.7619047619047621
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.01565,TNBC,False,0.9411764705882354,1.1764705882352942,1.0705882352941176,1.1411764705882352,1.1058823529411763,1.0352941176470591,1.0941176470588236,0.9647058823529412,1.1176470588235294,1.0823529411764707,0.9058823529411764,0.9882352941176472,0.6941176470588235,1.0823529411764707,0.9294117647058824,1.0470588235294118,0.9529411764705884,0.9411764705882354,0.9058823529411764,1.0352941176470591,0.9529411764705884,0.9176470588235296,1.0823529411764707,1.1411764705882352,0.7529411764705882
REACTOME_INTERFERON_GAMMA_SIGNALING,1e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_SIGNALING,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.99995,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.10057999999999999,TNBC,False,0.7000000000000001,2.3,1.7999999999999998,0.2,1.4,0.6,0.5,1.4,0.4,0.1,3.4,1.7,0.3,4.6,2.0,1.6,2.0,0.2,3.0,2.6,1.0,2.3,1.7999999999999998,2.1,0.4
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99998,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.00011999999999999999,TNBC,True,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
WP_TYPE_III_INTERFERON_SIGNALING,0.3681,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.0044399999999999995,TNBC,False,0.7525773195876289,0.9896907216494846,1.0309278350515465,1.0103092783505154,0.8453608247422679,0.9793814432989691,0.8556701030927835,0.9587628865979382,1.0206185567010309,0.9072164948453608,0.8969072164948454,0.9587628865979382,0.8556701030927835,1.0309278350515465,1.0103092783505154,1.0309278350515465,1.0206185567010309,0.8041237113402062,1.0309278350515465,0.9175257731958764,1.0206185567010309,1.0,0.9896907216494846,1.0,0.4948453608247423
ZHANG_INTERFERON_RESPONSE,0.06492,TNBC,False,0.3611111111111112,0.8888888888888891,2.305555555555556,1.5555555555555558,0.25,1.2777777777777781,0.4722222222222223,1.0555555555555556,1.9166666666666663,0.6666666666666666,0.22222222222222224,1.2222222222222223,0.7222222222222223,2.6666666666666665,0.8611111111111112,2.3888888888888893,0.7777777777777779,0.08333333333333333,1.8611111111111116,0.9166666666666669,1.8611111111111116,1.1944444444444444,0.7500000000000001,0.9166666666666669,0.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.5126,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.28244,TNBC,False,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
PAM50,0.07122,TNBC,False,1.5,0.96875,0.9375,0.96875,0.40625,1.25,1.03125,0.5,1.8125,0.375,1.625,0.90625,0.375,2.21875,0.5,1.59375,0.8125,0.09375,0.25,1.59375,0.96875,1.03125,1.4687499999999998,1.84375,0.75
WU_ET_AL_BASAL_SC,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_HER2E_SC,0.0088,TNBC,False,0.9473684210526316,0.3157894736842105,1.0210526315789474,0.9894736842105264,1.0315789473684212,1.0315789473684212,0.9578947368421054,1.0526315789473684,1.0421052631578949,1.0315789473684212,0.9684210526315792,1.0315789473684212,0.8315789473684211,1.0315789473684212,0.8947368421052632,1.0421052631578949,0.9894736842105264,0.4210526315789474,0.9894736842105264,1.0526315789473684,0.9894736842105264,1.0315789473684212,1.0,1.0421052631578949,0.936842105263158
