,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_10,excluded_BRCA_14,excluded_BRCA_19,excluded_BRCA_35,excluded_BRCA_20,excluded_BRCA_3,excluded_BRCA_7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.00148,TNBC,True,1.0,1.0,1.0,1.0,1.0,0.93,1.0,0.92
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0008699999999999999,TNBC,False,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.9797979797979798,0.8282828282828283,1.0101010101010102,0.3434343434343435
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.0491,TNBC,False,2.0384615384615383,3.0769230769230766,3.7692307692307687,3.8461538461538463,0.5769230769230769,0.0,3.692307692307692,0.15384615384615385
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0043,TNBC,False,1.0,0.99,1.0,1.0,0.5,0.97,1.0,0.17
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00011999999999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99
HALLMARK_INTERFERON_GAMMA_RESPONSE,1e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.01068,TNBC,False,1.0638297872340423,1.0106382978723405,1.0638297872340423,1.0638297872340423,0.4787234042553192,0.8936170212765958,1.0212765957446808,0.010638297872340429
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.039830000000000004,TNBC,False,1.7543859649122808,0.7543859649122807,1.7543859649122808,1.7543859649122808,0.14035087719298248,1.2456140350877194,1.2631578947368425,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.05942000000000001,TNBC,False,2.0625,1.5,2.90625,3.0625,1.03125,0.0,2.34375,0.15625
REACTOME_INTERFERON_GAMMA_SIGNALING,0.00151,TNBC,False,1.0,1.0,1.0,1.0,0.99,1.0,0.99,0.59
REACTOME_INTERFERON_SIGNALING,0.00028,TNBC,False,1.0,1.0,1.0,1.0,0.94,0.89,1.0,0.54
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.9999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.04654,TNBC,False,2.28,2.16,4.0,4.0,0.76,0.08,3.52,0.24
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.9998299999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.00054,TNBC,True,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.98
WP_TYPE_III_INTERFERON_SIGNALING,0.33588,TNBC,False,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.0035700000000000003,TNBC,False,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,0.898989898989899,0.9292929292929294,1.0,0.5353535353535354
ZHANG_INTERFERON_RESPONSE,0.0035,TNBC,False,1.0,1.0,1.0,1.0,0.84,0.99,0.96,0.2
REACTOME_CYTOPROTECTION_BY_HMOX1,0.05905,TNBC,False,7.153846153846153,3.0,7.23076923076923,7.6923076923076925,0.0,0.15384615384615385,5.0,0.07692307692307693
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.58825,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PAM50,0.21402,TNBC,False,10.166666666666666,0.5,0.0,2.5,0.0,1.3333333333333337,4.833333333333333,0.0
WU_ET_AL_BASAL_SC,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97
WU_ET_AL_HER2E_SC,0.007640000000000001,TNBC,False,1.075268817204301,1.064516129032258,1.075268817204301,1.075268817204301,0.4731182795698925,0.5806451612903226,1.075268817204301,0.01075268817204301
WU_ET_AL_LUMA_SC,0.14492,TNBC,False,10.0,0.2,8.299999999999999,9.1,1.4,0.6,2.0,0.0
WU_EL_AL_LUMB_SC,0.25505,ER+,False,0.0,0.0,0.0,0.16666666666666669,15.500000000000002,14.833333333333336,0.0,16.666666666666668
HALLMARK_ADIPOGENESIS,0.08144,TNBC,False,15.75,7.249999999999999,23.75,25.0,0.5,0.0,16.0,0.0
HALLMARK_ALLOGRAFT_REJECTION,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.20501999999999998,TNBC,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
HALLMARK_ANGIOGENESIS,0.23806,TNBC,False,91.0,0.0,90.0,98.0,1.0,11.0,0.0,0.0
HALLMARK_APICAL_JUNCTION,0.00036,TNBC,False,1.0,1.0,1.0,1.0,0.96,0.98,1.0,0.61
HALLMARK_APICAL_SURFACE,0.77572,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APOPTOSIS,0.01318,TNBC,False,1.2048192771084338,1.0963855421686748,1.2048192771084338,1.2048192771084338,0.20481927710843376,0.08433734939759037,1.2048192771084338,0.012048192771084338
HALLMARK_BILE_ACID_METABOLISM,0.88071,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
