,beanie_pval,direction,robust,excluded_BRCA_10,excluded_BRCA_14,excluded_BRCA_8,excluded_BRCA_19,excluded_BRCA_9,excluded_BRCA_2,excluded_BRCA_6,excluded_BRCA_20
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99979,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.03402,TNBC,False,1.5625,1.046875,0.109375,1.09375,1.453125,0.625,0.21875000000000006,0.40625
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.00158,TNBC,False,1.0,0.81,0.94,0.93,0.98,1.0,1.0,1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.41483000000000003,TNBC,False,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.01768,TNBC,False,1.0101010101010102,0.030303030303030307,0.5151515151515151,0.020202020202020204,1.0101010101010102,0.7070707070707071,1.0101010101010102,1.0101010101010102
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.29136,TNBC,False,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.16485,TNBC,False,8.090909090909092,0.0,0.0,0.0,0.0,0.18181818181818185,9.090909090909092,9.090909090909092
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.1073,TNBC,False,5.545454545454545,0.9090909090909092,0.6363636363636365,0.0,1.3636363636363635,0.18181818181818185,0.18181818181818185,0.0
REACTOME_INTERFERON_GAMMA_SIGNALING,0.12154000000000001,TNBC,False,2.5,0.05,0.0,0.0,2.475,0.17500000000000002,0.025,2.5
REACTOME_INTERFERON_SIGNALING,0.028960000000000003,TNBC,False,1.1494252873563218,0.011494252873563218,0.0,0.0,1.1494252873563218,0.4137931034482759,1.0689655172413794,1.1494252873563218
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.99979,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.02872,TNBC,False,1.075268817204301,0.41935483870967744,0.6989247311827956,0.04301075268817204,0.3440860215053763,0.9677419354838708,1.075268817204301,0.8172043010752688
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.99974,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.00243,TNBC,False,1.0,0.79,0.89,0.16,1.0,0.98,1.0,1.0
WP_TYPE_III_INTERFERON_SIGNALING,0.10250999999999999,TNBC,False,10.888888888888891,0.0,0.0,0.4444444444444445,6.777777777777778,2.0,0.7777777777777779,1.2222222222222223
BROWNE_INTERFERON_RESPONSIVE_GENES,0.1257,TNBC,False,12.25,0.0,0.0,0.0,22.25,1.0,3.0,24.25
ZHANG_INTERFERON_RESPONSE,0.67301,TNBC,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.10198,TNBC,False,5.2631578947368425,0.0,0.0,0.5263157894736842,0.05263157894736842,0.15789473684210525,4.789473684210527,3.3157894736842106
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.10514000000000001,TNBC,False,2.0526315789473686,1.947368421052632,0.368421052631579,0.8421052631578947,0.0,0.3157894736842105,3.947368421052632,0.8421052631578947
PAM50,0.25172,TNBC,False,0.0,0.0,0.0,0.0,0.0,5.0,1.5,0.5
WU_ET_AL_BASAL_SC,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WU_ET_AL_HER2E_SC,0.053939999999999995,TNBC,False,1.5625,0.03125,0.015625,0.1875,0.234375,0.7343749999999999,1.5625,1.40625
WU_ET_AL_LUMA_SC,0.15705999999999998,TNBC,False,12.428571428571427,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,6.857142857142856,14.285714285714285
WU_EL_AL_LUMB_SC,1e-05,ER+,False,0.89,1.0,1.0,1.0,1.0,1.0,1.0,0.97
HALLMARK_ADIPOGENESIS,0.0089,TNBC,False,1.0,0.62,0.25,0.99,0.19,1.0,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.86798,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANGIOGENESIS,0.43886000000000003,TNBC,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_APICAL_JUNCTION,2e-05,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_SURFACE,0.96186,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APOPTOSIS,0.14861,TNBC,False,12.333333333333336,0.33333333333333337,0.0,0.0,0.33333333333333337,0.16666666666666669,0.33333333333333337,14.666666666666668
HALLMARK_BILE_ACID_METABOLISM,0.034339999999999996,ER+,False,0.10958904109589042,1.0684931506849316,1.3698630136986298,0.8904109589041096,0.013698630136986302,0.36986301369863017,1.3698630136986298,0.05479452054794521
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.24065999999999999,TNBC,False,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
HALLMARK_COAGULATION,0.028069999999999998,TNBC,False,0.7749999999999999,1.0625,1.25,0.8999999999999999,0.7999999999999999,0.0125,1.0625,0.8875
HALLMARK_COMPLEMENT,2e-05,TNBC,True,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.007640000000000001,TNBC,False,1.0,0.49,0.32,0.94,0.93,1.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.00014,TNBC,True,1.0,0.98,1.0,1.0,0.99,1.0,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.00114,ER+,False,0.92,1.0,1.0,1.0,1.0,1.0,1.0,0.24
HALLMARK_FATTY_ACID_METABOLISM,0.06456,TNBC,False,1.4925373134328357,0.02985074626865672,0.059701492537313425,0.4328358208955223,0.20895522388059706,0.2388059701492537,1.4925373134328357,1.4776119402985073
HALLMARK_G2M_CHECKPOINT,0.0005200000000000001,TNBC,True,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.0,TNBC,True,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.9001600000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.0107,TNBC,False,1.0416666666666667,0.8437500000000001,0.6145833333333334,0.9583333333333334,0.7083333333333334,1.0208333333333333,1.0416666666666667,0.9895833333333334
HALLMARK_HYPOXIA,0.0006900000000000001,TNBC,False,1.0,1.0,0.99,1.0,0.02,1.0,1.0,1.0
HALLMARK_IL2_STAT5_SIGNALING,0.2292,TNBC,False,3.0,1.0,0.0,0.0,0.0,21.0,5.0,25.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.00101,TNBC,False,1.0,1.0,0.97,0.53,1.0,1.0,1.0,1.0
HALLMARK_INFLAMMATORY_RESPONSE,0.16552999999999998,TNBC,False,0.11111111111111112,0.5555555555555556,0.22222222222222224,0.0,1.1111111111111112,0.0,0.0,0.3333333333333333
HALLMARK_KRAS_SIGNALING_DN,0.5939800000000001,ER+,False,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HALLMARK_KRAS_SIGNALING_UP,0.06738,TNBC,False,0.0,1.106666666666667,1.3333333333333333,0.02666666666666667,1.1733333333333331,0.16,0.4266666666666667,0.0
HALLMARK_MITOTIC_SPINDLE,0.0003,TNBC,False,1.0,0.79,1.0,0.98,1.0,1.0,1.0,0.97
HALLMARK_MTORC1_SIGNALING,0.00016999999999999999,TNBC,True,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V1,0.0,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MYC_TARGETS_V2,0.04154,TNBC,False,1.0416666666666667,0.33333333333333337,0.3645833333333333,0.2812500000000001,0.01041666666666667,0.625,1.0416666666666667,1.0416666666666667
HALLMARK_MYOGENESIS,0.007559999999999999,TNBC,False,1.0101010101010102,1.0101010101010102,0.7373737373737373,1.0101010101010102,1.0101010101010102,0.9797979797979798,0.24242424242424246,1.0101010101010102
HALLMARK_NOTCH_SIGNALING,0.76772,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.01679,TNBC,False,1.0101010101010102,0.3232323232323233,0.4848484848484849,0.898989898989899,0.31313131313131315,0.9292929292929294,1.0101010101010102,1.0101010101010102
HALLMARK_P53_PATHWAY,0.05656,TNBC,False,0.918032786885246,0.11475409836065575,0.4098360655737705,0.0,0.06557377049180327,0.7049180327868853,1.639344262295082,1.5245901639344264
HALLMARK_PANCREAS_BETA_CELLS,0.71536,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_PEROXISOME,0.11937,TNBC,False,5.2105263157894735,0.0,0.0,0.05263157894736842,0.05263157894736842,0.42105263157894735,5.052631578947368,1.7368421052631582
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.00868,TNBC,True,1.0,0.91,0.98,0.91,0.99,1.0,1.0,0.99
HALLMARK_PROTEIN_SECRETION,0.0008300000000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.023540000000000002,TNBC,False,1.1363636363636365,0.2272727272727273,0.022727272727272728,0.5340909090909091,0.3636363636363637,1.0,1.1363636363636365,1.1363636363636365
HALLMARK_SPERMATOGENESIS,0.13152,TNBC,False,1.7999999999999998,0.0,0.2,3.1,0.3,1.1,4.699999999999998,0.7999999999999999
HALLMARK_TGF_BETA_SIGNALING,0.7279,TNBC,False,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.04602,TNBC,False,0.03448275862068966,1.0689655172413794,0.03448275862068966,0.0,0.06896551724137932,1.637931034482759,1.3620689655172415,1.706896551724138
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.00145,TNBC,False,1.0,1.0,1.0,1.0,0.3,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_DN,0.84215,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_UV_RESPONSE_UP,0.052129999999999996,TNBC,False,1.639344262295082,0.18032786885245905,0.0,0.8852459016393444,0.0,1.459016393442623,1.639344262295082,1.6229508196721312
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.09146,TNBC,False,0.042553191489361715,0.23404255319148934,0.4680851063829787,0.021276595744680854,0.042553191489361715,2.1063829787234045,2.0638297872340425,0.0
HALLMARK_XENOBIOTIC_METABOLISM,0.9813200000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_AKT_UP.V1_DN,0.1075,TNBC,False,0.05882352941176471,1.4705882352941175,0.0,0.9411764705882352,0.7647058823529411,4.352941176470588,0.1176470588235294,3.647058823529412
ONCOGENIC_AKT_UP.V1_UP,0.26274000000000003,TNBC,False,0.0,0.0,88.0,20.0,0.0,0.0,1.0,0.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.37964000000000003,TNBC,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.5354800000000001,ER+,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_ALK_DN.V1_DN,0.20476,ER+,False,2.333333333333333,1.3333333333333337,14.333333333333336,0.6666666666666667,0.0,0.0,7.333333333333334,0.0
ONCOGENIC_ALK_DN.V1_UP,0.36284,TNBC,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
ONCOGENIC_ATF2_S_UP.V1_DN,0.9885700000000001,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_S_UP.V1_UP,0.53259,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_DN,0.72472,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_ATF2_UP.V1_UP,0.02075,TNBC,False,0.7752808988764044,0.21348314606741567,0.14606741573033707,0.9213483146067416,0.5730337078651685,1.1235955056179776,1.1235955056179776,1.1235955056179776
ONCOGENIC_ATM_DN.V1_DN,0.6037,ER+,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ONCOGENIC_ATM_DN.V1_UP,0.12230999999999999,ER+,False,4.1875,0.0,0.0,0.75,1.3125,0.3125,2.1875,0.5
ONCOGENIC_BCAT.100_UP.V1_DN,0.63408,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT.100_UP.V1_UP,0.6812,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_BILD_ET_AL_DN,0.43261000000000005,TNBC,False,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
ONCOGENIC_BCAT_BILD_ET_AL_UP,0.17715999999999998,TNBC,False,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_DN,0.58997,TNBC,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BCAT_GDS748_UP,0.8903399999999999,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_DN,0.77495,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BMI1_DN.V1_UP,0.20072,TNBC,False,0.0,8.333333333333334,6.500000000000001,0.8333333333333334,1.5,0.0,0.0,0.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_DN,0.33184,TNBC,False,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.01571,TNBC,False,0.03260869565217391,1.0869565217391304,1.0869565217391304,0.6956521739130435,1.076086956521739,0.9891304347826086,0.021739130434782608,0.17391304347826084
ONCOGENIC_BRCA1_DN.V1_DN,0.52725,ER+,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_BRCA1_DN.V1_UP,0.6109600000000001,ER+,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAHOY_ASTROCYTIC,0.21866,TNBC,False,0.0,9.5,3.0,0.25,0.0,0.0,0.0,0.5
ONCOGENIC_CAHOY_ASTROGLIAL,0.03028,TNBC,False,0.7792207792207791,1.2597402597402596,0.4545454545454545,1.2987012987012987,0.7922077922077921,1.1948051948051948,0.3636363636363637,1.2467532467532467
ONCOGENIC_CAHOY_NEURONAL,0.16080999999999998,ER+,False,4.0,0.0,0.0,0.0,0.0,4.666666666666667,24.0,6.0
ONCOGENIC_CAHOY_OLIGODENDROCUTIC,0.38461999999999996,TNBC,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
ONCOGENIC_CAMP_UP.V1_DN,0.07086,TNBC,False,1.88,0.08,0.56,0.0,0.0,0.94,2.0,0.38
ONCOGENIC_CAMP_UP.V1_UP,0.0233,TNBC,False,1.0101010101010102,0.11111111111111112,0.26262626262626265,0.7070707070707071,0.0,0.8888888888888891,1.0101010101010102,1.0101010101010102
ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.00156,TNBC,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
