,Tumor State,Gene Signature,BEANIE p-value,Direction,Robustness
1,Tumor State 1,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.001,TNBC,True
2,Tumor State 1,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0001,TNBC,True
4,Tumor State 1,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0023,TNBC,False
5,Tumor State 1,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0114,TNBC,False
6,Tumor State 1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,TNBC,True
8,Tumor State 1,NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.0203,TNBC,False
9,Tumor State 1,NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.0156,TNBC,False
10,Tumor State 1,REACTOME_INTERFERON_GAMMA_SIGNALING,0.0,TNBC,True
11,Tumor State 1,REACTOME_INTERFERON_SIGNALING,0.0,TNBC,True
15,Tumor State 1,WP_TYPE_II_INTERFERON_SIGNALING,0.0001,TNBC,True
17,Tumor State 1,BROWNE_INTERFERON_RESPONSIVE_GENES,0.0044,TNBC,False
22,Tumor State 1,WU_ET_AL_BASAL_SC,0.0,TNBC,True
23,Tumor State 1,WU_ET_AL_HER2E_SC,0.0088,TNBC,False
27,Tumor State 1,HALLMARK_ALLOGRAFT_REJECTION,0.0,TNBC,True
28,Tumor State 1,HALLMARK_ANDROGEN_RESPONSE,0.0436,TNBC,False
29,Tumor State 1,HALLMARK_ANGIOGENESIS,0.0416,TNBC,False
30,Tumor State 1,HALLMARK_APICAL_JUNCTION,0.0042,TNBC,False
32,Tumor State 1,HALLMARK_APOPTOSIS,0.015,TNBC,False
34,Tumor State 1,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0024,TNBC,False
35,Tumor State 1,HALLMARK_COAGULATION,0.0,TNBC,True
36,Tumor State 1,HALLMARK_COMPLEMENT,0.0,TNBC,True
38,Tumor State 1,HALLMARK_E2F_TARGETS,0.0006,TNBC,True
39,Tumor State 1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,TNBC,True
40,Tumor State 1,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0005,ER+,True
43,Tumor State 1,HALLMARK_G2M_CHECKPOINT,0.0122,TNBC,False
44,Tumor State 1,HALLMARK_GLYCOLYSIS,0.0001,TNBC,True
46,Tumor State 1,HALLMARK_HEME_METABOLISM,0.0048,TNBC,False
47,Tumor State 1,HALLMARK_HYPOXIA,0.0,TNBC,True
48,Tumor State 1,HALLMARK_IL2_STAT5_SIGNALING,0.0006,TNBC,True
49,Tumor State 1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0001,TNBC,True
50,Tumor State 1,HALLMARK_INFLAMMATORY_RESPONSE,0.0,TNBC,True
52,Tumor State 1,HALLMARK_KRAS_SIGNALING_UP,0.0,TNBC,True
54,Tumor State 1,HALLMARK_MTORC1_SIGNALING,0.0,TNBC,True
57,Tumor State 1,HALLMARK_MYOGENESIS,0.0,TNBC,True
60,Tumor State 1,HALLMARK_P53_PATHWAY,0.0,TNBC,True
63,Tumor State 1,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0293,TNBC,False
68,Tumor State 1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0,TNBC,True
69,Tumor State 1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0266,TNBC,False
71,Tumor State 1,HALLMARK_UV_RESPONSE_UP,0.0015,TNBC,True
74,Tumor State 1,ONCOGENIC_AKT_UP.V1_DN,0.0001,TNBC,True
75,Tumor State 1,ONCOGENIC_AKT_UP.V1_UP,0.0026,TNBC,True
76,Tumor State 1,ONCOGENIC_AKT_UP_MTOR_DN.V1_DN,0.0393,TNBC,False
77,Tumor State 1,ONCOGENIC_AKT_UP_MTOR_DN.V1_UP,0.0029,TNBC,True
79,Tumor State 1,ONCOGENIC_ALK_DN.V1_UP,0.0035,TNBC,True
80,Tumor State 1,ONCOGENIC_ATF2_S_UP.V1_DN,0.0106,TNBC,False
81,Tumor State 1,ONCOGENIC_ATF2_S_UP.V1_UP,0.0028,TNBC,False
82,Tumor State 1,ONCOGENIC_ATF2_UP.V1_DN,0.0023,TNBC,True
83,Tumor State 1,ONCOGENIC_ATF2_UP.V1_UP,0.0,TNBC,True
84,Tumor State 1,ONCOGENIC_ATM_DN.V1_DN,0.027,TNBC,False
93,Tumor State 1,ONCOGENIC_BMI1_DN.V1_UP,0.0,TNBC,True
95,Tumor State 1,ONCOGENIC_BMI1_DN_MEL18_DN.V1_UP,0.0001,TNBC,True
98,Tumor State 1,ONCOGENIC_CAHOY_ASTROCYTIC,0.0031,TNBC,False
99,Tumor State 1,ONCOGENIC_CAHOY_ASTROGLIAL,0.0,TNBC,True
102,Tumor State 1,ONCOGENIC_CAMP_UP.V1_DN,0.004,TNBC,True
103,Tumor State 1,ONCOGENIC_CAMP_UP.V1_UP,0.0153,TNBC,False
104,Tumor State 1,ONCOGENIC_CORDENONSI_YAP_CONSERVED_SIGNATURE,0.0,TNBC,True
105,Tumor State 1,ONCOGENIC_CRX_DN.V1_DN,0.0,TNBC,True
110,Tumor State 1,ONCOGENIC_CSR_EARLY_UP.V1_UP,0.0287,TNBC,False
112,Tumor State 1,ONCOGENIC_CSR_LATE_UP.V1_UP,0.0216,TNBC,False
116,Tumor State 1,ONCOGENIC_CYCLIN_D1_KE_.V1_UP,0.0152,TNBC,False
117,Tumor State 1,ONCOGENIC_CYCLIN_D1_UP.V1_DN,0.0093,TNBC,False
118,Tumor State 1,ONCOGENIC_CYCLIN_D1_UP.V1_UP,0.003,TNBC,False
121,Tumor State 1,ONCOGENIC_E2F1_UP.V1_DN,0.0016,TNBC,True
122,Tumor State 1,ONCOGENIC_E2F1_UP.V1_UP,0.0298,TNBC,False
126,Tumor State 1,ONCOGENIC_EGFR_UP.V1_UP,0.0,TNBC,True
130,Tumor State 1,ONCOGENIC_ERBB2_UP.V1_UP,0.0001,TNBC,True
134,Tumor State 1,ONCOGENIC_ESC_J1_UP_LATE.V1_UP,0.0012,TNBC,True
135,Tumor State 1,ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.0,TNBC,True
137,Tumor State 1,ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.0004,TNBC,True
138,Tumor State 1,ONCOGENIC_ESC_V6.5_UP_LATE.V1_UP,0.0396,TNBC,False
139,Tumor State 1,ONCOGENIC_GCNP_SHH_UP_EARLY.V1_DN,0.0359,TNBC,False
141,Tumor State 1,ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.0212,TNBC,False
142,Tumor State 1,ONCOGENIC_GCNP_SHH_UP_LATE.V1_UP,0.0253,TNBC,False
145,Tumor State 1,ONCOGENIC_HINATA_NFKB_IMMU_INF,0.0283,TNBC,False
146,Tumor State 1,ONCOGENIC_HINATA_NFKB_MATRIX,0.0281,TNBC,False
147,Tumor State 1,ONCOGENIC_HOXA9_DN.V1_DN,0.0,TNBC,True
148,Tumor State 1,ONCOGENIC_HOXA9_DN.V1_UP,0.0051,TNBC,False
