,Tumor State,Gene Signature,BEANIE p-value,MWU-BH p-value,MWU-BH-LOOCV p-value,GLM p-value,GLM-LOOCV p-value,Pseudobulk p-value,Pseudobulk-LOOCV p-value
0,Tumor State 1,alphabeta_tcell_1,0.9278,0.0,0.0,0.0,0.0,0.4726,0.4868
1,Tumor State 1,alphabeta_tcell_2,0.8232,0.0309,0.0407,0.0683,0.0842,0.4726,0.4731
2,Tumor State 1,NKT_1,0.3462,0.1294,0.1447,0.0095,0.0136,0.4726,0.4867
3,Tumor State 1,bcell_1,0.9919,0.1626,0.1647,0.0158,0.0207,0.4877,0.4868
4,Tumor State 1,nk_1,0.9337,0.0,0.0,0.0,0.0,0.4726,0.4868
5,Tumor State 1,myeloid_1,0.4784,0.0006,0.001,0.0019,0.0027,0.4726,0.4731
6,Tumor State 1,myeloid_2,0.8075,0.0,0.0,0.0,0.0,0.4726,0.4867
7,Tumor State 1,mast_2,0.9499,0.0498,0.0324,0.206,0.1452,0.4877,0.4868
0,Tumor State 2,alphabeta_tcell_1,0.049,0.0051,0.009,0.0,0.0001,0.4838,0.4733
1,Tumor State 2,alphabeta_tcell_2,0.8115,0.0,0.0,0.0,0.0,0.4838,0.4765
2,Tumor State 2,NKT_1,0.9259,0.2261,0.1732,0.2107,0.1643,0.4838,0.4765
3,Tumor State 2,bcell_1,0.7638,0.4556,0.2613,0.7759,0.4886,0.4838,0.4767
4,Tumor State 2,nk_1,0.3705,0.0009,0.0016,0.0018,0.0031,0.4838,0.4733
5,Tumor State 2,myeloid_1,0.8801,0.0001,0.0001,0.0021,0.0016,0.4838,0.4765
6,Tumor State 2,myeloid_2,0.0524,0.0,0.0,0.0001,0.0001,0.4838,0.4733
7,Tumor State 2,mast_2,0.6568,0.0662,0.0846,0.1248,0.1641,0.4838,0.4765
0,Tumor State 3,alphabeta_tcell_1,0.5465,0.2586,0.3795,0.1962,0.2348,0.5,0.3864
1,Tumor State 3,alphabeta_tcell_2,0.1795,0.0017,0.0099,0.0002,0.0006,0.5,0.3864
2,Tumor State 3,NKT_1,0.4976,0.3958,0.3352,0.1716,0.2997,0.5,0.3864
3,Tumor State 3,bcell_1,0.7224,0.1696,0.2069,0.1013,0.2081,0.5,0.3864
4,Tumor State 3,nk_1,0.4388,0.0222,0.0894,0.0078,0.0376,0.5,0.3864
5,Tumor State 3,myeloid_1,0.7816,0.1452,0.1368,0.1701,0.1631,0.5,0.3864
6,Tumor State 3,myeloid_2,0.5946,0.2474,0.199,0.4983,0.3394,0.5,0.3864
7,Tumor State 3,mast_2,0.4732,0.256,0.3566,0.2818,0.4981,0.5,0.3864
