,Tumor State,Gene Signature,BEANIE p-value,MWU-BH p-value,MWU-BH-LOOCV p-value,GLM p-value,GLM-LOOCV p-value,Pseudobulk p-value,Pseudobulk-LOOCV p-value
0,Tumor State 1,alphabeta_tcell_1,0.3966,0.0,0.0,0.3576,0.3207,0.4998,0.4903
1,Tumor State 1,alphabeta_tcell_2,0.3714,0.0,0.0,0.0,0.0,0.4998,0.4903
2,Tumor State 1,NKT_1,0.6627,0.1039,0.1,0.1354,0.1304,0.4998,0.4903
3,Tumor State 1,bcell_1,0.9421,0.0717,0.0583,0.0047,0.004,0.4998,0.4903
4,Tumor State 1,nk_1,0.6217,0.3232,0.3505,0.1101,0.1238,0.4998,0.4903
5,Tumor State 1,myeloid_1,0.4707,0.068,0.0677,0.5095,0.4931,0.4998,0.4903
6,Tumor State 1,myeloid_2,0.9592,0.3703,0.3559,0.6165,0.6162,0.5,0.4903
7,Tumor State 1,mast_2,0.7459,0.1653,0.1612,0.3955,0.402,0.4998,0.4903
0,Tumor State 2,alphabeta_tcell_1,0.5304,0.0718,0.0646,0.0245,0.0218,0.4884,0.4897
1,Tumor State 2,alphabeta_tcell_2,0.997,0.1444,0.1407,0.3188,0.3026,0.4884,0.4897
2,Tumor State 2,NKT_1,0.5965,0.1684,0.1662,0.2967,0.2748,0.4884,0.4897
3,Tumor State 2,bcell_1,0.5161,0.065,0.0615,0.0076,0.0075,0.4884,0.4973
4,Tumor State 2,nk_1,0.9099,0.002,0.0022,0.0013,0.0015,0.4884,0.4897
5,Tumor State 2,myeloid_1,0.6951,0.3821,0.3867,0.8315,0.8084,0.4884,0.4897
6,Tumor State 2,myeloid_2,0.6004,0.1684,0.1641,0.6099,0.5739,0.4884,0.4972
7,Tumor State 2,mast_2,0.5627,0.0212,0.0232,0.0352,0.0364,0.4884,0.4897
0,Tumor State 3,alphabeta_tcell_1,0.3193,0.0012,0.0146,0.0031,0.0184,0.4513,0.4426
1,Tumor State 3,alphabeta_tcell_2,0.3441,0.0137,0.0224,0.024,0.0351,0.4513,0.4426
2,Tumor State 3,NKT_1,0.2568,0.0007,0.0028,0.0009,0.002,0.4513,0.4426
3,Tumor State 3,bcell_1,0.9782,0.1762,0.3221,0.6578,0.7958,0.4513,0.4426
4,Tumor State 3,nk_1,0.8549,0.286,0.3851,0.5642,0.555,0.4513,0.4426
5,Tumor State 3,myeloid_1,0.5231,0.3292,0.286,0.9592,0.5749,0.4513,0.4426
6,Tumor State 3,myeloid_2,0.1839,0.0,0.0,0.0,0.0,0.4513,0.4426
7,Tumor State 3,mast_2,0.506,0.1375,0.1425,0.0932,0.1121,0.4513,0.4426
