,Tumor State,Gene Signature,BEANIE p-value,Direction,Robustness
1,Tumor State 1,REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.0348,TNBC,False
2,Tumor State 1,REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0005,TNBC,True
4,Tumor State 1,REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.0146,TNBC,False
6,Tumor State 1,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0016,TNBC,False
10,Tumor State 1,REACTOME_INTERFERON_GAMMA_SIGNALING,0.0002,TNBC,False
11,Tumor State 1,REACTOME_INTERFERON_SIGNALING,0.0014,TNBC,False
15,Tumor State 1,WP_TYPE_II_INTERFERON_SIGNALING,0.0106,TNBC,False
22,Tumor State 1,WU_ET_AL_BASAL_SC,0.0,TNBC,True
23,Tumor State 1,WU_ET_AL_HER2E_SC,0.0069,TNBC,False
25,Tumor State 1,WU_EL_AL_LUMB_SC,0.0017,ER+,True
26,Tumor State 1,HALLMARK_ADIPOGENESIS,0.0466,TNBC,False
27,Tumor State 1,HALLMARK_ALLOGRAFT_REJECTION,0.0,TNBC,True
30,Tumor State 1,HALLMARK_APICAL_JUNCTION,0.0363,TNBC,False
34,Tumor State 1,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0075,TNBC,False
36,Tumor State 1,HALLMARK_COMPLEMENT,0.0028,TNBC,False
38,Tumor State 1,HALLMARK_E2F_TARGETS,0.0071,TNBC,False
40,Tumor State 1,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0,ER+,True
41,Tumor State 1,HALLMARK_ESTROGEN_RESPONSE_LATE,0.0085,ER+,False
47,Tumor State 1,HALLMARK_HYPOXIA,0.0116,TNBC,False
48,Tumor State 1,HALLMARK_IL2_STAT5_SIGNALING,0.0104,TNBC,False
49,Tumor State 1,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.011,TNBC,False
52,Tumor State 1,HALLMARK_KRAS_SIGNALING_UP,0.0001,TNBC,True
54,Tumor State 1,HALLMARK_MTORC1_SIGNALING,0.0001,TNBC,True
55,Tumor State 1,HALLMARK_MYC_TARGETS_V1,0.0103,TNBC,False
57,Tumor State 1,HALLMARK_MYOGENESIS,0.0375,TNBC,False
60,Tumor State 1,HALLMARK_P53_PATHWAY,0.0363,TNBC,False
68,Tumor State 1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0072,TNBC,False
83,Tumor State 1,ONCOGENIC_ATF2_UP.V1_UP,0.0382,TNBC,False
98,Tumor State 1,ONCOGENIC_CAHOY_ASTROCYTIC,0.0199,TNBC,False
99,Tumor State 1,ONCOGENIC_CAHOY_ASTROGLIAL,0.0116,TNBC,False
103,Tumor State 1,ONCOGENIC_CAMP_UP.V1_UP,0.039,TNBC,False
105,Tumor State 1,ONCOGENIC_CRX_DN.V1_DN,0.0,TNBC,True
112,Tumor State 1,ONCOGENIC_CSR_LATE_UP.V1_UP,0.0433,TNBC,False
126,Tumor State 1,ONCOGENIC_EGFR_UP.V1_UP,0.0,TNBC,True
130,Tumor State 1,ONCOGENIC_ERBB2_UP.V1_UP,0.0003,TNBC,True
135,Tumor State 1,ONCOGENIC_ESC_V6.5_UP_EARLY.V1_DN,0.01,TNBC,False
137,Tumor State 1,ONCOGENIC_ESC_V6.5_UP_LATE.V1_DN,0.0169,TNBC,False
147,Tumor State 1,ONCOGENIC_HOXA9_DN.V1_DN,0.004,TNBC,True
177,Tumor State 1,ONCOGENIC_KRAS.LUNG_UP.V1_DN,0.0098,TNBC,False
182,Tumor State 1,ONCOGENIC_LEF1_UP.V1_UP,0.023,TNBC,False
184,Tumor State 1,ONCOGENIC_LTE2_UP.V1_UP,0.0021,TNBC,False
