,,0
Tumor State 1,BEANIE,16/263
Tumor State 1,MWU-BH,232/263
Tumor State 1,MWU-BH-LOOCV,232/263
Tumor State 1,GLM,230/263
Tumor State 1,GLM-LOOCV,229/263
Tumor State 1,Pseudobulk,2/263
Tumor State 1,Pseudobulk-LOOCV,0/263
Tumor State 2,BEANIE,17/263
Tumor State 2,MWU-BH,221/263
Tumor State 2,MWU-BH-LOOCV,221/263
Tumor State 2,GLM,216/263
Tumor State 2,GLM-LOOCV,216/263
Tumor State 2,Pseudobulk,0/263
Tumor State 2,Pseudobulk-LOOCV,0/263
Tumor State 3,BEANIE,7/263
Tumor State 3,MWU-BH,204/263
Tumor State 3,MWU-BH-LOOCV,204/263
Tumor State 3,GLM,208/263
Tumor State 3,GLM-LOOCV,209/263
Tumor State 3,Pseudobulk,0/263
Tumor State 3,Pseudobulk-LOOCV,0/263
