,beanie_pval,direction,robust,excluded_LUAD_9,excluded_LUAD_3,excluded_LUAD_0,excluded_LUAD_4,excluded_LUAD_10,excluded_LUAD_5,excluded_LUAD_19,excluded_LUAD_1,excluded_LUAD_15,excluded_LUAD_13,excluded_LUAD_6,excluded_LUAD_2
HALLMARK_ADIPOGENESIS,0.9290700000000001,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ALLOGRAFT_REJECTION,0.80188,late_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_ANDROGEN_RESPONSE,0.30058,early_stage,False,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_ANGIOGENESIS,0.6631100000000001,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_APICAL_JUNCTION,0.09585,late_stage,False,0.0,1.125,0.125,7.875,11.375,1.125,5.5,0.375,2.375,0.0,0.0,0.0
HALLMARK_APICAL_SURFACE,0.036860000000000004,late_stage,False,0.0,1.4492753623188408,0.01449275362318841,0.6666666666666667,1.376811594202899,1.4347826086956523,1.1884057971014492,0.8840579710144928,1.347826086956522,0.31884057971014496,0.44927536231884063,0.2463768115942029
HALLMARK_APOPTOSIS,0.92735,late_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_BILE_ACID_METABOLISM,0.80892,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.37584,early_stage,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_COAGULATION,0.98554,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_COMPLEMENT,0.73256,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.79845,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_E2F_TARGETS,0.37438,early_stage,False,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.1252,late_stage,False,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.56986,early_stage,False,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.99193,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_FATTY_ACID_METABOLISM,0.41556000000000004,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_G2M_CHECKPOINT,0.79882,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_GLYCOLYSIS,0.54106,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEDGEHOG_SIGNALING,0.49212,late_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_HEME_METABOLISM,0.12295999999999999,late_stage,False,0.5,18.5,0.0,0.0,16.5,9.0,2.5,10.0,6.0,0.0,0.0,0.0
HALLMARK_HYPOXIA,0.33906,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HALLMARK_IL2_STAT5_SIGNALING,0.74898,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.44625,late_stage,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INFLAMMATORY_RESPONSE,0.86072,late_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.37108,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5090399999999999,early_stage,False,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.13133,early_stage,False,43.0,7.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,1.5,0.0
HALLMARK_KRAS_SIGNALING_UP,0.73742,late_stage,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HALLMARK_MITOTIC_SPINDLE,0.9655,early_stage,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
