,beanie_pval,direction,robust,excluded_BRCA_26,excluded_BRCA_4,excluded_BRCA_44,excluded_BRCA_24,excluded_BRCA_39,excluded_BRCA_38,excluded_BRCA_28,excluded_BRCA_14,excluded_BRCA_11,excluded_BRCA_32,excluded_BRCA_21,excluded_BRCA_22,excluded_BRCA_17,excluded_BRCA_19,excluded_BRCA_0,excluded_BRCA_9,excluded_BRCA_30,excluded_BRCA_23,excluded_BRCA_16,excluded_BRCA_6,excluded_BRCA_46,excluded_BRCA_45,excluded_BRCA_7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99998,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.13769,treatment_naive,False,10.375,0.125,0.5,9.375,1.25,3.375,1.25,8.25,1.5,3.375,0.75,6.875,0.625,7.5,0.625,2.0,0.25,9.375,2.75,0.75,0.125,3.75,0.125
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.32482,treatment_naive,False,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.12616,treatment_naive,False,2.8095238095238093,0.5238095238095238,0.09523809523809523,3.0476190476190483,1.5714285714285716,0.7619047619047621,2.1904761904761907,0.6666666666666667,0.6666666666666667,1.0952380952380951,1.0952380952380951,1.7142857142857142,0.5714285714285714,0.9523809523809524,0.8571428571428571,1.0476190476190477,0.0,2.714285714285714,1.0476190476190477,1.5714285714285716,1.0476190476190477,1.0952380952380951,0.42857142857142855
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.31537,treatment_naive,False,28.000000000000004,0.0,0.0,21.0,1.5,0.0,1.5,4.0,7.000000000000001,1.0,0.0,28.5,0.0,4.5,0.0,1.5,0.0,16.5,7.000000000000001,0.0,0.0,2.0,0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.10006,treatment_naive,False,20.0,0.0,6.8,9.2,1.4,6.8,17.2,0.6,16.2,2.6,2.0,15.2,2.0,3.0,0.0,19.6,0.0,16.599999999999998,10.4,9.2,1.0,9.0,0.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0177,treatment_naive,False,1.6949152542372885,0.2542372881355932,1.5762711864406782,1.5932203389830508,0.8813559322033899,1.5593220338983051,1.6779661016949152,1.1016949152542377,1.6779661016949152,1.152542372881356,1.1355932203389831,1.6949152542372885,0.7627118644067797,1.2542372881355932,0.13559322033898305,1.6949152542372885,0.05084745762711865,1.6949152542372885,1.6949152542372885,1.5762711864406782,0.7118644067796609,1.6271186440677967,0.03389830508474576
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.06757,treatment_naive,False,4.08695652173913,0.5217391304347826,1.9130434782608692,2.6956521739130435,0.2608695652173913,3.1739130434782608,3.782608695652174,0.13043478260869565,2.130434782608696,1.5652173913043477,0.3478260869565217,3.8695652173913038,0.3478260869565217,1.2608695652173911,0.2608695652173913,3.826086956521739,0.21739130434782608,3.5217391304347827,0.3913043478260869,3.739130434782608,0.3478260869565217,1.6086956521739129,0.0
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.38577,anti_PD1,False,0.0,2.5,5.5,0.0,0.0,1.25,0.25,0.0,2.75,0.0,0.25,0.0,1.25,0.75,0.0,0.5,12.5,2.5,0.0,0.0,0.0,0.0,1.25
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.05388,treatment_naive,False,1.4444444444444444,0.7777777777777777,0.14814814814814814,1.7777777777777777,0.7777777777777777,1.2222222222222219,0.8703703703703702,1.2777777777777777,1.3333333333333333,0.7407407407407407,0.25925925925925924,1.5185185185185184,0.5,1.4444444444444444,0.7592592592592592,0.8888888888888888,0.14814814814814814,1.4074074074074074,1.2407407407407407,0.9259259259259258,0.35185185185185186,0.7222222222222222,0.3703703703703704
REACTOME_INTERFERON_GAMMA_SIGNALING,0.03752,treatment_naive,False,2.2222222222222223,0.2888888888888889,1.2888888888888888,1.8666666666666665,0.3111111111111111,1.6888888888888889,1.8444444444444443,1.5111111111111108,2.0444444444444443,1.5555555555555554,0.7333333333333334,1.8666666666666665,0.6222222222222222,1.4222222222222225,0.2,2.2222222222222223,0.11111111111111112,2.1777777777777776,2.1555555555555554,1.0666666666666669,0.3111111111111111,1.0888888888888888,0.2
REACTOME_INTERFERON_SIGNALING,0.02282,treatment_naive,False,1.4705882352941175,0.4852941176470588,0.8676470588235293,1.4558823529411764,1.0294117647058822,1.1323529411764706,1.4117647058823528,1.0294117647058822,1.4558823529411764,1.3235294117647058,0.6764705882352939,1.4558823529411764,1.0441176470588234,1.0735294117647058,0.3529411764705882,1.4705882352941175,0.08823529411764705,1.4705882352941175,1.441176470588235,1.2499999999999998,0.7205882352941175,1.2352941176470589,0.14705882352941174
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.99998,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.49267,treatment_naive,False,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
