,beanie_pval,direction,robust,excluded_BRCA_21,excluded_BRCA_17,excluded_BRCA_45
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.99941,treatment_naive,True,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.23026,anti_PD1,False,0.5833333333333334,0.0,5.083333333333333
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.1129,anti_PD1,False,1.0416666666666667,0.2916666666666667,2.7500000000000004
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.46406000000000003,treatment_naive,False,0.14285714285714285,2.4285714285714284,0.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.52494,anti_PD1,False,1.0,1.0,0.0
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.259,anti_PD1,True,1.0,2.333333333333333,5.0
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.6974600000000001,treatment_naive,True,1.0,1.0,1.0
EINAV_INTERFERON_SIGNATURE_IN_CANCER,0.57438,anti_PD1,False,0.5,0.5,0.5
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.013619999999999998,anti_PD1,False,1.1690140845070425,0.647887323943662,1.0704225352112675
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.85054,treatment_naive,False,1.0,1.0,0.0
REACTOME_INTERFERON_GAMMA_SIGNALING,0.32384,treatment_naive,False,10.0,0.0,3.0
REACTOME_INTERFERON_SIGNALING,0.28607,treatment_naive,False,1.5,1.5,0.16666666666666669
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,0.99941,treatment_naive,True,1.0,1.0,1.0
WP_INTERFERON_TYPE_I_SIGNALING_PATHWAYS,0.5243800000000001,treatment_naive,False,0.0,4.6,0.0
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY,0.9996,treatment_naive,True,1.0,1.0,1.0
WP_TYPE_II_INTERFERON_SIGNALING,0.31645999999999996,treatment_naive,False,0.5454545454545454,0.09090909090909093,0.6363636363636365
WP_TYPE_III_INTERFERON_SIGNALING,0.8635700000000001,treatment_naive,False,0.0,0.0,0.0
BROWNE_INTERFERON_RESPONSIVE_GENES,0.34452,anti_PD1,False,0.0,1.25,1.25
ZHANG_INTERFERON_RESPONSE,0.9468,treatment_naive,False,1.0,1.0,0.0
REACTOME_CYTOPROTECTION_BY_HMOX1,0.21934,anti_PD1,False,3.666666666666667,0.0,3.166666666666667
REACTOME_REGULATION_OF_HMOX1_EXPRESSION_AND_ACTIVITY,0.26458000000000004,treatment_naive,False,0.5,1.4999999999999998,0.2
PAM50,0.26646,treatment_naive,False,0.6666666666666667,0.16666666666666669,12.5
WU_ET_AL_BASAL_SC,0.14117000000000002,anti_PD1,False,1.272727272727273,0.0,3.1818181818181817
WU_ET_AL_HER2E_SC,0.65612,treatment_naive,False,1.0,1.0,0.0
WU_ET_AL_LUMA_SC,0.85034,treatment_naive,False,1.0,0.0,0.0
WU_EL_AL_LUMB_SC,0.28228000000000003,treatment_naive,False,1.5,3.8333333333333335,0.16666666666666669
HALLMARK_ADIPOGENESIS,0.57812,treatment_naive,False,0.0,1.0,0.0
HALLMARK_ALLOGRAFT_REJECTION,0.5906,anti_PD1,False,0.0,0.0,0.0
HALLMARK_ANDROGEN_RESPONSE,0.8029999999999999,treatment_naive,False,0.0,1.0,0.0
HALLMARK_ANGIOGENESIS,0.64322,treatment_naive,False,0.0,0.0,0.0
HALLMARK_APICAL_JUNCTION,0.58216,treatment_naive,False,0.0,1.0,0.0
HALLMARK_APICAL_SURFACE,0.65435,anti_PD1,False,0.0,0.0,9.0
HALLMARK_APOPTOSIS,0.04954,treatment_naive,False,0.4268292682926829,1.2195121951219512,0.25609756097560976
HALLMARK_BILE_ACID_METABOLISM,0.59099,treatment_naive,True,1.0,1.0,1.0
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.36203,treatment_naive,False,11.0,0.0,0.4
HALLMARK_COAGULATION,0.12024000000000001,anti_PD1,False,1.4999999999999998,0.0,4.4
HALLMARK_COMPLEMENT,0.8488,treatment_naive,True,1.0,1.0,1.0
HALLMARK_DNA_REPAIR,0.58192,treatment_naive,False,0.0,3.5000000000000004,0.5
HALLMARK_E2F_TARGETS,0.01554,treatment_naive,False,1.0416666666666667,1.2222222222222223,0.8055555555555556
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.20915,treatment_naive,False,16.666666666666668,0.0,32.333333333333336
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.46952,treatment_naive,False,0.0,0.0,0.0
HALLMARK_ESTROGEN_RESPONSE_LATE,0.51026,treatment_naive,False,0.0,0.0,0.0
HALLMARK_FATTY_ACID_METABOLISM,0.3998,anti_PD1,True,3.0,2.0,7.000000000000001
HALLMARK_G2M_CHECKPOINT,0.12594,treatment_naive,False,0.475,1.875,0.3
HALLMARK_GLYCOLYSIS,0.45556,treatment_naive,False,0.0,1.0,0.0
HALLMARK_HEDGEHOG_SIGNALING,0.76385,treatment_naive,False,0.0,7.000000000000001,3.0
HALLMARK_HEME_METABOLISM,0.9678,treatment_naive,False,1.0,1.0,0.0
HALLMARK_HYPOXIA,0.015790000000000002,treatment_naive,False,0.7096774193548387,1.075268817204301,0.3118279569892473
HALLMARK_IL2_STAT5_SIGNALING,0.45781000000000005,treatment_naive,False,4.0,2.0,0.0
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.15985,treatment_naive,False,0.8888888888888888,0.6296296296296297,0.2222222222222222
HALLMARK_INFLAMMATORY_RESPONSE,0.6651,treatment_naive,False,0.0,1.0,1.0
HALLMARK_KRAS_SIGNALING_DN,0.62856,treatment_naive,False,1.0,1.0,0.0
HALLMARK_KRAS_SIGNALING_UP,0.97739,treatment_naive,False,1.0,1.0,0.0
HALLMARK_MITOTIC_SPINDLE,0.75712,treatment_naive,False,1.0,0.0,0.0
HALLMARK_MTORC1_SIGNALING,0.49603,treatment_naive,False,1.0,0.0,1.0
HALLMARK_MYC_TARGETS_V1,0.32769000000000004,treatment_naive,False,3.666666666666667,0.33333333333333337,3.0
HALLMARK_MYC_TARGETS_V2,0.15302000000000002,treatment_naive,False,2.2,0.13333333333333333,1.6
HALLMARK_MYOGENESIS,0.8900600000000001,treatment_naive,True,1.0,1.0,1.0
HALLMARK_NOTCH_SIGNALING,0.71232,treatment_naive,True,1.0,1.0,1.0
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.08358,anti_PD1,False,0.7179487179487181,0.5641025641025641,1.2307692307692306
HALLMARK_P53_PATHWAY,0.04378,treatment_naive,False,0.4,1.225,0.475
HALLMARK_PANCREAS_BETA_CELLS,0.46907,anti_PD1,False,4.5,0.0,0.5
HALLMARK_PEROXISOME,0.41412,anti_PD1,False,0.75,0.25,7.000000000000001
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.33308000000000004,treatment_naive,False,0.7999999999999999,5.4,0.0
HALLMARK_PROTEIN_SECRETION,0.5022,treatment_naive,False,0.0,1.0,0.0
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.564,anti_PD1,False,7.000000000000001,1.0,0.0
HALLMARK_SPERMATOGENESIS,0.13612,treatment_naive,False,1.631578947368421,0.368421052631579,1.1578947368421053
HALLMARK_TGF_BETA_SIGNALING,0.40102,treatment_naive,False,0.0,3.5,0.33333333333333337
