,beanie_pval,direction,robust,excluded_BRCA_4,excluded_BRCA_39,excluded_BRCA_14,excluded_BRCA_11,excluded_BRCA_32,excluded_BRCA_21,excluded_BRCA_22,excluded_BRCA_17,excluded_BRCA_19,excluded_BRCA_0,excluded_BRCA_9,excluded_BRCA_30,excluded_BRCA_23,excluded_BRCA_16,excluded_BRCA_6,excluded_BRCA_7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.9999899999999999,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
REACTOME_ANTIGEN_PRESENTATION_FOLDING_ASSEMBLY_AND_PEPTIDE_LOADING_OF_CLASS_I_MHC,0.01857,treatment_naive,False,0.04301075268817204,0.8709677419354839,1.075268817204301,1.053763440860215,1.064516129032258,1.075268817204301,1.010752688172043,0.989247311827957,1.075268817204301,0.053763440860215055,1.053763440860215,0.12903225806451613,1.075268817204301,1.075268817204301,0.6774193548387096,0.5913978494623656
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.03306,treatment_naive,False,0.015151515151515154,1.5,1.1363636363636362,1.5151515151515151,1.0454545454545454,1.5151515151515151,1.4393939393939392,0.9090909090909092,1.0,0.0,1.393939393939394,0.1818181818181818,1.5151515151515151,1.5151515151515151,0.3484848484848485,0.3787878787878788
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,0.21606,treatment_naive,False,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,0.07804,treatment_naive,False,0.0,5.6875,1.0625,6.25,1.0625,5.3125,4.3125,0.6875,1.5,0.0,2.5,0.0625,4.625,6.25,0.0,0.8750000000000001
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.00157,treatment_naive,False,0.76,1.0,1.0,1.0,0.99,1.0,1.0,1.0,0.94,0.37,1.0,0.98,1.0,1.0,1.0,0.45
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.00088,treatment_naive,False,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.69,1.0,0.99,1.0,1.0,1.0,0.9
EINAV_INTERFERON_SIGNATURE_IN_CANCER,2e-05,treatment_naive,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.87
NATSUME_RESPONSE_TO_INTERFERON_BETA_DN,0.15436,treatment_naive,False,0.0,0.75,0.0,5.25,1.7500000000000002,10.5,1.0,2.0,0.0,1.0,0.0,0.0,2.25,0.0,13.0,0.25
NATSUME_RESPONSE_TO_INTERFERON_BETA_UP,0.04075,treatment_naive,False,0.32584269662921345,1.0449438202247192,0.9101123595505618,1.1235955056179776,0.6741573033707865,1.0674157303370786,0.6741573033707865,1.1235955056179776,0.7752808988764044,0.32584269662921345,0.5842696629213483,0.16853932584269662,0.8764044943820225,1.1235955056179776,1.0674157303370786,0.4157303370786517
REACTOME_INTERFERON_GAMMA_SIGNALING,0.00321,treatment_naive,False,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.71,1.0,0.89,1.0,1.0,1.0,0.95
REACTOME_INTERFERON_SIGNALING,0.00015,treatment_naive,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0
