,Tumor State,Gene Signature,BEANIE p-value,Direction,Robustness
37,Tumor State 1,HALLMARK_PANCREAS_BETA_CELLS,0.0243,Early-stage LUAD,False
132,Tumor State 1,ONCOGENIC_JAK2_DN.V1_UP,0.0025,Early-stage LUAD,False
136,Tumor State 1,ONCOGENIC_KRAS.300_UP.V1_UP,0.0222,Early-stage LUAD,False
142,Tumor State 1,ONCOGENIC_KRAS.600_UP.V1_UP,0.038,Early-stage LUAD,False
171,Tumor State 1,ONCOGENIC_NFE2L2.V2,0.0003,Early-stage LUAD,True
177,Tumor State 1,ONCOGENIC_P53_DN.V1_UP,0.0029,Late-stage LUAD,False
211,Tumor State 1,ONCOGENIC_RELA_DN.V1_UP,0.0067,Early-stage LUAD,False
223,Tumor State 1,ONCOGENIC_STK33_NOMO_UP,0.0357,Early-stage LUAD,False
235,Tumor State 1,ONCOGENIC_WNT_UP.V1_DN,0.0369,Early-stage LUAD,False
5,Tumor State 2,HALLMARK_APICAL_SURFACE,0.0369,Late-stage LUAD,False
50,Tumor State 2,ONCOGENIC_AKT_UP.V1_DN,0.0002,Late-stage LUAD,True
54,Tumor State 2,ONCOGENIC_ALK_DN.V1_DN,0.0302,Early-stage LUAD,False
168,Tumor State 2,ONCOGENIC_MTOR_UP.V1_UP,0.0352,Early-stage LUAD,False
171,Tumor State 2,ONCOGENIC_NFE2L2.V2,0.0358,Early-stage LUAD,False
215,Tumor State 2,ONCOGENIC_SIRNA_EIF4GI_DN,0.0347,Late-stage LUAD,False
1,Tumor State 4,HALLMARK_ALLOGRAFT_REJECTION,0.014,Early-stage LUAD,False
2,Tumor State 4,HALLMARK_ANDROGEN_RESPONSE,0.033,Early-stage LUAD,False
3,Tumor State 4,HALLMARK_ANGIOGENESIS,0.0312,Early-stage LUAD,False
6,Tumor State 4,HALLMARK_APOPTOSIS,0.0155,Early-stage LUAD,False
10,Tumor State 4,HALLMARK_COMPLEMENT,0.0456,Early-stage LUAD,False
18,Tumor State 4,HALLMARK_GLYCOLYSIS,0.0009,Early-stage LUAD,True
21,Tumor State 4,HALLMARK_HYPOXIA,0.0064,Early-stage LUAD,False
22,Tumor State 4,HALLMARK_IL2_STAT5_SIGNALING,0.0402,Early-stage LUAD,False
25,Tumor State 4,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0001,Early-stage LUAD,False
26,Tumor State 4,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,Early-stage LUAD,False
36,Tumor State 4,HALLMARK_P53_PATHWAY,0.0166,Early-stage LUAD,False
50,Tumor State 4,ONCOGENIC_AKT_UP.V1_DN,0.0019,Late-stage LUAD,False
105,Tumor State 4,ONCOGENIC_ERBB2_UP.V1_DN,0.0129,Early-stage LUAD,False
117,Tumor State 4,ONCOGENIC_GCNP_SHH_UP_LATE.V1_DN,0.0405,Late-stage LUAD,False
128,Tumor State 4,ONCOGENIC_IL21_UP.V1_UP,0.0303,Late-stage LUAD,False
159,Tumor State 4,ONCOGENIC_LTE2_UP.V1_DN,0.0102,Early-stage LUAD,True
161,Tumor State 4,ONCOGENIC_MEK_UP.V1_DN,0.0018,Early-stage LUAD,False
168,Tumor State 4,ONCOGENIC_MTOR_UP.V1_UP,0.0313,Early-stage LUAD,False
171,Tumor State 4,ONCOGENIC_NFE2L2.V2,0.035,Early-stage LUAD,False
196,Tumor State 4,ONCOGENIC_PTEN_DN.V1_DN,0.0358,Early-stage LUAD,False
208,Tumor State 4,ONCOGENIC_RB_P130_DN.V1_DN,0.0288,Early-stage LUAD,False
211,Tumor State 4,ONCOGENIC_RELA_DN.V1_UP,0.035,Early-stage LUAD,False
218,Tumor State 4,ONCOGENIC_SNF5_DN.V1_UP,0.0002,Early-stage LUAD,False
225,Tumor State 4,ONCOGENIC_STK33_SKM_UP,0.0036,Early-stage LUAD,False
226,Tumor State 4,ONCOGENIC_STK33_UP,0.0239,Early-stage LUAD,False
235,Tumor State 4,ONCOGENIC_WNT_UP.V1_DN,0.0047,Early-stage LUAD,False
